,date,title,links,description
17,21.07.20,"[단독] ""CCTV 사각지대서 50대 여성 덮쳐 성폭행 시도"" 30대 구속","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006398937"",""링크"")",CCTV조차 설치되지 않은 인적 드문 밤길을 걷는 모르는 50대 여성을 넘어뜨려 무차별 폭행하고 성폭행하려다가 도주한 30대 남성이 경찰에 붙잡…
18,21.07.20,"[단독] ""한화 · 키움 선수들도 거짓 진술…경찰에 수사 의뢰""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006398665"",""링크"")",호텔 술자리에서 방역수칙을 위반한 한화와 키움의 일부 선수들이 역학조사에서 거짓 진술을 한 혐의로 경찰의 조사를 받게 됐습니다. 강남구 방역 당…
19,21.07.19,"[단독] 동물병원 내부자 폭로 ""밤새 피 토하는 강아지 방치""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006397553"",""링크"")",서울 송파구의 한 동물병원에서 1년 반 넘게 수의사를 보조했던 직원이 병원 내부에서 은밀하게 벌어진 일들을 SBS에 폭로했습니다. 직원 A 씨는…
20,21.07.18,[단독] 영국 항모전단 다음 달 부산 입항…연합훈련 조율,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006396237"",""링크"")",영국 퀸 엘리자베스 항공모함 전단이 다음 달 부산 해군기지에 들어옵니다. 외국 항모전단 전체가 오는 건 처음인데 동해상 한-영 연합 훈련도 준비…
21,21.07.18,"[단독] ""맨발로 도와주세요""…도심 공원 2인조 강도","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006396234"",""링크"")",오늘 새벽 서울 서초구에 있는 한 공원에서 40대 남성이 2인조 강도에게 폭행을 당하고 금품을 빼앗겼습니다. 남성은 주변 주유소로 겨우 찾아가 …
22,21.07.18,"[단독] '서초 도심 공원' 2인조 강도…""맨발로 도움 요청""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006396273"",""링크"")",오늘 새벽 서울 서초구에 있는 한 근린공원에서 40대 남성이 2인조 강도로부터 폭행을 당하고 금품을 빼앗기는 사건이 발생했습니다. SBS 취재에…
23,21.07.18,"[단독] '구속' 동료 살해 남성, 비번 바꾸고 대리 불렀다","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006396159"",""링크"")",서울 마포구 오피스텔에서 옛 직장 동료를 살해한 혐의로 구속된 40대 남성이 범행 직후 오피스텔 비밀번호를 바꾸고 대리기사를 불러 운전하게 하는…
24,21.07.18,"[단독] ""반지하 월세방 털려다…"" 상습절도 70대 구속영장","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006396137"",""링크"")",서울의 한 주택가에서 반지하 월세방을 털려던 70대 남성 귀가한 집주인과 마주치자 도주했다가 경찰에 붙잡혔습니다. SBS 취재 결과 서울 동작경…
25,21.07.18,"[단독] ""이 시국에…새벽 3시 성업"" 출동하자 옥상 도주","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006396050"",""링크"")","SBS 취재에 따르면, 서울 송파경찰서는 어제 새벽 3시 30분쯤 송파구 가락동의 노래방에서 업주 등 21명을 감염병예방법 위반 등 혐의로 적발…"
26,21.07.17,[단독] IOC 징계 압박…'이순신' 현수막 자진 철거,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006395492"",""링크"")",그런데 우리 선수단이 도쿄올림픽 선수촌에 내걸었던 이른바 이순신 장군 현수막이 이틀 만에 철거됐습니다. 신에게는 아직 국민들의 지지가 남아있다는…
27,21.07.16,"[단독] '경제대통령' 띄우고…""정치세력 교체""로 화답","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006394802"",""링크"")",잠재적인 대선 주자로 거론되는 김동연 전 경제부총리가 오늘 김종인 전 국민의힘 비대위원장을 만난 것으로 저희 취재 결과 확인됐습니다. 김 전 부…
28,21.07.16,[단독] 양성인데 '음성' 통보…확진 훈련병 15시간 방치,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006394801"",""링크"")",한편 군 논산훈련소 관련 확진자는 117명까지 늘었습니다. 그런데 첫 환자가 나온 날 군병원의 실수로 확진 통보가 늦게 이루어진 것이 SBS 취…
29,21.07.16,[단독] 논산훈련소 1번 확진 하루 늦게 통보…15시간 동안 방치,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006394649"",""링크"")",육군 논산훈련소 확진자가 117명에 이르는 가운데 최초 코로나 확진 통보가 하루 늦게 이뤄진 사실이 SBS 취재 결과 확인됐습니다. 지난 4일 …
